问题标题,问题内容,答主昵称,回答时间,赞同数,评论数,回答内容
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,咩***,发布于 2022-03-28 08:57,"​
","​
1 ","咩咩蕾蒂
​

我的一个家长，我带她老大没多久的时候，她生了老三，那时候还是独生子女刚开放二胎的时候。我那时还没有结婚，我特别惊讶，自己在想，三个孩子要怎么带啊！曾经见过她拎着那种车载摇篮带着她家老三到处算工程款，晚上八点多才回家。就在想，是什么样的勇气。重男轻女不存在哈，因为头两个已经一女一男了。然后过了一年多，她又生了一个儿子。他们家的儿童配置变成2男2女。

另外，她家没有雇阿姨，这也是让我更吃惊的。孩子们都是她一手带大。公公婆婆间歇性过来帮忙。

因为我主要是给老大上课，所以其他孩子没怎么接触过。但是老大很优秀，待人接物大方有礼貌，学习很不错，初中考到了我们本地的重点。

我知道你现在很累，生孩子那一下身体上的痛其实都被心理上的解脱期待弱化了。但是带孩子真的是时刻在爆炸和憋屈间游离。你是个好妈妈，因为你知道不能像孩子传递消极情绪，所以坦然一些，要尝试接受自己的负面情绪，你是妈妈，但也只是普通的人，尝试接受自己的脾气和情绪。我现在就是，既然奋斗太累，那就躺平了，坦然接受，反而事情没有想的那么糟糕，那是不是说就还有一些小小的惊喜？

发布于 2022-03-28 08:57
​
赞同​
​
1 条评论
​
分享
​
收藏
​
喜欢
​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,三***,发布于 2022-04-04 21:44,"​
 1",0,"三胎宝妈成长记
学习育儿的Jane｜家有姐姐弟三娃需教养｜育儿育己
1 人赞同了该回答

我的情况跟题主很雷同，现在三宝快两个月了！我过得好吗？不能说很好，特别累，但也不会一个人流泪什么的，就是没有什么期待感，比较机械的生活吧！目前我能安慰自己的就是：至少往后的日子，我不会为放弃一个生命而内疚！

目前大宝上小学一年级，二宝刚过完两周岁生日，三宝快两个月，我公公婆婆在帮忙带小孩，我主要任务就是每天抽空辅导小学生作业、二宝陪玩一下、三宝喂奶晚上带睡、要尽快恢复健康。

建议题主不要把压力都给自己，既然有了三宝就要给孩子们分享经历，累了要说出来，我怀孕的时候就跟两个宝宝说，妈妈肚子里有宝宝比较幸苦，跟老大说她的作业可否自己主动完成？跟老二说妈妈累可否自己的玩具自己收拾好？等等。。。

家里也需要老公老人们支持一下，一个人弄三个是不可能的事呀，反正我不行。可能因为我一直不乐意生，我家公公婆婆带孩子方面还是比较迁就我，题主最好也能让老人帮下忙，已经五个月了决定生下来的话还是要家里人多帮忙的，一个人咬牙生，挺苦的。

发布于 2022-04-04 21:44
真诚赞赏，手留余香
赞赏
还没有人赞赏，快来当第一个赞赏的人吧！
​
赞同 1​
​
添加评论
​
分享
​
收藏
​
喜欢
​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,燕***,编辑于 2022-07-16 00:00,"​
 5",0,"燕园李老师
在思考中探寻真相
5 人赞同了该回答

谢邀。如题，二孩属于雪中送炭，而三孩属于锦上添花，生三孩的人群，都是条件允许的人，都是好上加好的人，都是令人羡慕的人。

生二胎意义特别重大，生三胎意义相对二胎稍弱些。客观的讲，二孩是必须的，但是三孩不是必须的。三孩，可有可无，有了更好，没有也行！但二孩必须有！

分析如下：

一孩太少，独生难教，风险太高，责任太重，失独无解。
二孩太好，雪中送炭，好事成双，共同成长，两全其美。
三孩也好，如果条件允许，这属于锦上添花，好上加好

普通家庭，2孩是必须的，2孩的好处太多太多了，2孩是人生家庭的最优选择，2孩是一个家庭最标准的配置，2孩远远好于1孩。
仅仅是2孩，又不是四胎五胎或六胎，2孩才是常态。2孩本不该作为一个问题来讨论，理所当然的事情！

只生一个孩子，决不是最优选择，会存在巨大风险，10%的失独风险（即：独生子女死亡，白发人送黑发人的几率≈10%，触目惊心） ，16.6%的失能风险（即：60岁以上生活无法自理的比例≈16.6%，这才仅是父母单方，独生子女负担太重），如此高的风险，绝不容忽视。北京大学人口学家穆光宗教授的研究结论：独生子女家庭本质上属于高风险家庭。为了自己好，为了孩子好，为了全家所有人好，正常家庭两个孩子是标准配置。

为了自己好，为了孩子好，为了全家所有人好，正常家庭两个孩子是标准配置。

扭曲了！扭曲了！ 1孩怎能是常态？ 1孩是太少太少了，1孩细思极恐，1孩的弊端太多了，1孩问题很严重。仔细想想：2孩算多吗？2孩不多不少，2孩恰到好处。3孩也不能算多，3孩属于锦上添花。客观的讲，4孩以上才算真正的多。
自2016年1月1日全面实施二孩政策以来，这一时间段的独生子女越来越少了。二孩家庭占比越来越多，一孩家庭占比逐年降低。至于三孩，因为刚刚出政策，所以三孩家庭目前尚不多。
关于二孩三孩这个问题，此刻回答肯定是众说纷纭，意见不一。但如果10年后、20年后大家再回答，可能就意见一致了。目前人们的观念已被扭曲很久了，有些人尚未回过神来。纵观全世界全人类，我国过去30年间的独生子女是人类历史上唯一的奇葩，问题太严重了！
不建议1孩，建议2孩，如果条件允许3孩也挺好。一个家庭，2-3个孩子，才属于正常家庭。




略举5例 失独家庭：

1.远房姑姑的儿子，独生子，14岁时，在学校与同学肢体冲突，被一脚踹裆，当场死亡，法医解剖，把内脏都掏空了。这个姑姑惊闻噩耗，昏厥抢救。总算挺过来了，几年后又生了一个儿子，然后紧接着又生个女儿。

2.大学同学，也是独生子女，21岁，那年冬天，在宿舍睡梦中去世，第二天早晨才被室友发现。他父母悲痛欲绝，办理完后事就走了，后来不知所终。

3.本部门的女同事，很优秀的学者，她的独生女，白血病医治无效，13岁去世。该同事请假半年，很快就离婚了。半年后回来上班，完全变了个人，沉默寡言。至今也没有再婚。

4和5.还有两个同事，不是本学院的。都是独生子女家庭，孩子都不满20岁，一个是疾病去世，一个是意外去世，两个家庭都失独了，但已丧失生二胎的能力。很多年了，都无法恢复，心如死灰，度日如年。

从父母的角度分析：

年轻时失独，属于不幸中的万幸；老来失独者，处境真是太悲惨了！

失独家庭是个不发声的群体，往往被人们忽视，存在感极低，实际的失独问题远比媒体报道的要严重得多。10%左右的失独概率，风险绝不容忽视！也就是说，每100个独生子女家庭，未来将有10个失独家庭，细思极恐啊！

北京大学人口学家穆光宗教授：独生子女家庭本质上属于高风险家庭。

清华大学潘 妙良教授：我是35岁有了孩子，等我70岁正要用他的时候他就走了，凡是独生子女的家庭都是在走钢丝，只不过我们从钢丝上掉下去了。

国家卫计委发展规划与信息司前副司长郭震威的论文《独生子女家庭丧子概率的测算》研究结论：按最新人口普查资料，把各个年龄段的死亡概率累计起来计算，至少有9.65%的独生子女会在55岁前非正常死亡。其中，至少有一大半的“失独事件”发生在丧失生育能力之后，也就是说，5%的独生子女家庭的父母将老无所倚，另4%的家庭失独后尚具生育能力可补生二胎。

《独生子女夭亡家庭生存状况 调查》（人民网，2009）一文告诉我们，全国大约有5.4%的人在25岁之前死亡，12.1%的人在55岁之前死亡。

南京大学社会学博士陈雯、何雨的《独生子女：我国 人口安全视野中不容忽视的焦点》研究结论：至少有9%的独生子女在55岁之前因患病或其他原因非正常死亡。

中国社科院人口所王广州教授，根据人口普查资料推算，3.91％的人18岁前死亡，5.1％的人在30岁前死亡，至少10％的人在55岁前死亡（《中国人口科学》2008第1期)。

学者冯 学荣的研究结论：父母在独生子女25岁之前“失独”的概率约为4%，而如果将时间拉长到独生子女55岁，则其父母的“失独”概率为10%左右。

据社科院人口预测专家王广州发表的《独生子女死亡总量及变化趋势 研究》，我国每年新增独生子女死亡数量为9.5万 ，未来累计死亡独生子女数量将达1184万人。

人口专家易 富 贤的研究表明，中国未来将有1009万人在25岁之前离世。

独生子女死亡的规模越来越大，积累的问题越来越突出，需要引起高度关注。未来1000万个失独家庭，2000万个失独老人，冰冷的数字背后，是多么惨痛的社会现实。

失独，是这个世界上最残忍的词汇。这世上最悲痛的事，不是葬礼，而是一对年迈父母出席自己唯一孩子的葬礼。精神支柱没了，生活动力也没了，这是一种无法想象的痛苦。“时间能治愈一切”成了空话。对于失独的人来说，任何劝慰都是苍白无力的。

现在的生育政策，真是功德无量！





以上是从父母的角度分析，接下来从子女的角度分析：
等独生子女渐渐长大，需要扛起家庭的责任，到了“上有老下有小”的年纪时，才发现我们的人生其实是：合千万孤独于一体。

独生子女家庭的“高危性”在于它是最不稳定的“倒三角”结构，意味着全部的负担都落在独生子女身上。

这个问题，40岁以上的独生子女，最具有发言权。30岁的独生子女，才刚刚迈入发言权的门槛。

独生子女的中年，最怕听到父母生病的消息，父母生病就像个定时炸弹，随时准备摧毁一个家庭多年的努力与积累。没有兄弟姊妹、没有退路的独生子女们必须背负起两倍、三倍的经济压力。

据统计，目前我国60岁以上失能老人已超4200万，占60岁以上老年人口比例约为16.6%，换句话说，我国每6位老年人中就有1位生活无法自理。北京大学一项人口学研究显示，到2030年，我国失能老人规模将超过7765万，失能老人去世前，平均将经历7.44年的失能期。

21世纪，什么最重要？
人才？不，是护工！
很多在一二线城市打拼的独生子女们的月薪，也就刚好够给护工发工资。

在知乎上看到有人问：用一句话概括作为独生子女是一种什么样的体验？其中点赞最高的回答说：不敢穷，不敢生病，不敢远嫁，甚至不敢死，因为父母只有我。

都说三十而立，四十不惑，可真的站在三十岁、四十岁的分岔路口抬眼看去，人生中都是依靠我们的人，而没有我们可以依靠的人。没有兄弟姐妹可以商量，朋友永远不能感同身受，孩子还在嗷嗷待哺的年纪，可父母已经佝偻了身体。
这，才是现实。

曾经看过一句话：“远嫁的孩子，都是父母失去的孩子。”提到这个话题，就必须要提一下“远嫁”，因为这是一个被反复提起，却总会戳到人心的话题。对于独生子女来说，不敢远离父母工作生活，更不敢嫁去远方。“你的爸爸躺在地上，可你却在通讯录里。”成了世上最遥远的距离。

独生子女不敢穷，因为这个家的未来得一个人撑起来，不敢病，是因为父母渐渐老去。哪怕有个弟弟妹妹呢，他们也能给我们带来许多温暖，懂得守护，一份责任，永不放弃。可惜我们没有！但我们依然有一个梦，一个永远都实现不了的梦……









近期的社会新闻，值得思考
28岁厦门大学教师情侣惨死人行道，4个失独老人的哭诉，牵动1000万中国失独家庭
01
23岁新手司机开着无运营资质的共享汽车，以71.9公里的时速冲进人行道，撞死一对年仅28岁的厦门大学教师情侣李健和赵榕榕。
发生在9月7日的这起惨案，已经有了判决结果：肇事司机胡某荧，判处有期徒刑4年，赔偿2.4万元，并支付医疗费用。
可一夜之间，两个家庭4个老人骤然失独。
“4个老人，失独家庭，老无所依，余生将进入思亲的无尽深渊，谁看得到？”失独母亲的一番话，字字泣血，句句含泪。
从前，李健的妈妈爱美、爱笑，经常和两个年轻人出去游玩，但是每当想起曾经的点点滴滴，现在就变成了“每天只会哭”。李健的爸爸更是整夜整夜睡不着觉，一闭上眼，就看见儿子冰冷的身体，躺在车轮下对他说，“爸爸我好痛”。
赵榕榕的妈妈每天晚上睡觉时，都要用枕头捂着胸口才能入睡，早上醒来，从女儿的房间里走进来、又走出去……如此反复。
在处理儿女身后事的时候，悲痛欲绝的李母和赵父相继被送进医院。
今年，原本是李健和赵榕榕30岁虚岁生日，也应该是他们组成新家庭的第一年。家人们说：如果孩子们还在，他们肯定会像之前一样，在厦门煮上一桌菜，买上一个蛋糕，在烛光中看着孩子们，和以前每次生日一样，闭上眼睛认真许下美丽的愿望。如今，老人再也看不见孩子的笑容。只剩下孤零零的坟茔，见证着一个名叫李健的男孩和一个名叫赵榕榕的女孩，曾经来过这个世界，愿结为夫妻。
“精神支柱没有了，生活动力也没有了。这是一种无法想象，无法体会的痛苦。”这世上最悲伤的事，不是葬礼，而是要求一对年迈父母出席自己唯一孩子的葬礼。
《2010年中国卫生统计年鉴》显示：中国15岁至30岁的独生子女有1.9亿人，这一年龄段的死亡率约为万分之五。以这样的数据计算，每年就会新增9.5万失独家庭，而这仅仅是其中一个年龄段而已。
2012年，《大国 空巢》作者易 富贤根据人口普查数据指出：中国从1975年到2010年共有2.18亿个独生子女家庭，而2000年人口普查数据显示，每出生1万人，会有360人在10岁之前不幸夭折，有463人在25岁之前离世，760人在44岁之前死亡。 结合两组数据，推断在现有的2.18亿独生子女中，会有1009万人在25岁之前过世，这就产生了 1000万失独家庭 。
为人父母者，半生皆已过。骤然失独，望身前，死神隐约可见；望身后，来路空无一人。
02
江苏扬州，大圣寺 这座并不出名的寺院里，收留着一个特殊的群体：失独者。一个网名叫做“世态炎凉”的女人，常常对着一个日记本发呆。随便翻开一篇日记，都是一个母亲止不住的眼泪：
远德，儿子，今天是除夕之夜，原本是全家团圆、合家欢乐的好日子，可现在的我却登上了去杭州的车，选择了漂泊逃避。 远德，儿子，我知道你们也难受，可我们在不同的地方，承受着不同的痛苦，也许我们都背着痛苦在哭泣，儿子，你说我们怎么办……
“世态炎凉”来自镇江农村，丈夫曾是一位乡村教师。即便很想多要一个孩子，可因为国家政策，他们始终无法如愿。唯一的儿子在一次事故中丧生，彻底压垮了这个朴实的农村妇女。比丧子之痛更绝望的，是村里人对她这个“绝户”的指指点点。此后，她一个人背上行囊，四处流浪。最后来到大圣寺，成为一名居士。只是这里也并非她的归宿，不过是一时的栖身之所。为了能和儿子在另一个世界再次相聚，她早早给自己买好了一块墓地，为自己的后事做好了一切准备。在一篇日记的最后，她写道：儿子，你要等我，奈何桥边等我，我一定会来的。 你等我时，我最开心，因为我相信，我会跟你战胜天。 天堂那边没有痛苦，我们母子会在那里相会。与其说这是一篇篇日记，不如说这是一封封遗书。
唯一的子女生命走到尽头，孤守世间的父母，终生不过在奈何桥上逗留。
03
不知道大家是否还记得几年前，在全国人民代表大会上被提起的失独老人潘妙良。潘妙良老先生是清华大学教授，当年为响应晚生晚育的国家政策，和爱人34岁才结婚，35岁才有孩子。从清华大学退休后，独子潘小宏的婚姻大事也终于有了着落。眼看着就是安度晚年，共享天伦之乐的美好时光。却不曾料到，意外来得猝不及防，又铭心刻骨。正在筹备婚礼的潘小宏给妈妈发了一条短信：“妈我心脏不舒服。”就是这样一句寻常的话语，竟成了儿子最后的遗言。白发人送黑发人，等到潘教授赶到医院时，儿子已经离他而去。事后，潘教授把儿子发的最后那条短信，默默地转到了自己的手机里。这支旧手机一直被他带在身边，好像总有一天，那个属于儿子的号码会再次响起。随着年岁的增长，两个踽踽独行的老人渐渐无法照料自己。万般无奈下，潘教授老两口去了养老院，但养老院需要子女签字担保，才能入住。最后他们还是回到了那间满是回忆的房子，陪伴他们的只有餐桌上，儿子去世当天吃剩的半块馒头。馒头用保鲜膜封存着，上面贴着一张黄色的便签：这是小宏那天早晨吃剩的最后一块馒头。每一个字，落在纸上都是心碎的声音。在无人关照，无人依靠的世界，活着的人能守着的，只有回忆。
04
时代的一粒灰，落在个人头上，就是一座山。并不是所有失独父母，都能扛住这座山走完余生。3年、5年、10年，这是失独者给自己总结出来的时间规律。3年之内一个坎儿，最难，徘徊在生死边缘；从伤痛中走出来，面对现实，需要5年；
而到了10年，随着自己开始步入老年，对独生子女的思念又开始加剧，自己的身体和养老问题接踵而至。51岁的王玉琼没跨过去“3年的坎儿”。原本是一个女强人的她，在失去独生女后，也失去了所有的自信。唯一的女儿因病去世，生意也荒废了，和丈夫离婚后，常年住在亲戚家。最后，她把房子卖了。所得的607万，全部分给亲朋好友，然后选择了自杀。
全国政协委员袁伟霞的一份调查显示：失独家庭里的父母中，50%的人患有慢性疾病；患重大疾病的有15%。另外，心理问题严重。他们会长期沉浸在失去唯一孩子的痛苦中，60%以上的人还患有不同程度的抑郁症，其中一半以上曾有过自杀倾向。
行走在漫天黑暗中的人，如果看不到光，是没法走下去的。就像一位失独者说的那样：他们这一辈经历了无数岁月的动荡和磨难，从来没有灰心过，但是这一次不行了，彻底失败了，一点希望也没有。
05
对于80后和90后来说，独生子女是时代刻下的身份烙印。如今虽已放开二胎三胎，但80后和90后作为人类历史长河里唯一的独生一代，现实已无法改变。
有个热门帖子问：独生子女是一种怎么样的体验？
高赞回答是：不敢死，不敢远嫁，特别想赚钱，因为他们只有我。
想起大学同学杨子的故事。从认识他的那一天开始，他一直就是个非常喜欢冒险的人。所有的极限运动，蹦极、高空跳伞、潜水……但凡能接触到的，一个不落。他还是个摩托车发烧友。入手过一辆价值不菲的哈雷，在马路上风驰电掣。但是30岁生日前的某一天，突然见他在朋友圈发了条转手哈雷的消息。并附上一句：“道路千万条，安全第一条。”原来那一年他出了一场车祸，差点没被大货车碾死。虽然人没事，但他亲眼看到赶到医院的母亲几度昏厥。那一刻他忽然意识到，自己是家里的独子，还没有结婚，更别提赡养父母了。平日里做了那么多让人心惊胆战的事情，父母为他操了多少心啊。
我们常说，父母是我们和死神之间的一堵墙。其实孩子，何尝不是父母抵御死神最坚实的那堵墙呢？
至今都还记得杨子说过的那段话：“我们的父母是中国父母中最普通的代表，他们把最好的人生给了我们，再用剩下的人生来守候。作为独生子女，我能对得起他们的也只有3个字：好好活。”
每一个失独家庭，都是一望无垠的苦海。10%左右的失独概率，风险绝不容忽视！也就是说，每100个独生子女家庭，未来将有10个失独家庭，细思极恐啊！
每一次出门前，请告诉自己：
20岁、30岁的我们，可能拥有的是一个世界；而我们父母的世界，却只有我们。
为人子女，好好活着，亦是对父母最基本的孝顺。

编辑于 2022-07-16 00:00
​
赞同 5​
​
添加评论
​
分享
​
收藏
​
喜欢
​
收起​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,映***,发布于 2022-03-27 16:21,"​
 20","​
33 ","映连
20 人赞同了该回答

我刚好是生了三胎，过得很累，二男一女，现己长大成人了，长儿子结婚生子，女儿出嫁成家立业，小儿子未婚在上班，我与丈夫己办理了退离退。

虽然我事业有成，爱人我和都退休了，可我一点都不快乐，建了一幢楼，请了保姆只搞卫生清洁，可是我一点都不快乐，整天带孙子，买菜做饭，做了菜媳妇不是说这菜过咸就是过淡，不是说油放多了就嫌汤过浓，看孙子时，拿点糖果给他们吃就说我乱给东西，孙子一生病都是我的责任，有时晚上睡觉我恶梦惊醒，梦自已离家出走了，我不敢与媳妇口争，她动不动要生要死，拿孙子和儿子出气，我希望家庭能和睦相处，家和万事兴，可是苦了我，老公整天与同事打麻将，一点都不理解我的苦楚，我说家分了，丈夫说不能分，一家人住在一起多好啊！我不会打麻将又不会交际，就看佛经念佛，玩抖音过日子。

发布于 2022-03-27 16:21
​
赞同 20​
​
33 条评论
​
分享
​
收藏
​
喜欢
​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,匿***,发布于 2022-03-29 23:37,"​
 3","​
1 ","匿名用户
3 人赞同了该回答

我是三胎的老大，90初，作为孩子，看着父母为我们三个到了退休的年纪还没有退休，还要为孩子挣钱嫁妆彩礼买房钱，很是心疼，家里没有矿的真是苦了父母苦了孩子。我作为老大，虽然现在自己有点钱，从小养成了舍不得买这，舍不得买那的，扣扣缩缩的过日子，养成了爱操心的习惯，感觉过得不开心。希望所有的孩子都能得到父母全心全意的爱，心中有爱，眼里有光。

发布于 2022-03-29 23:37
​
赞同 3​
​
1 条评论
​
分享
​
收藏
​
喜欢
​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,灞***,发布于 2022-03-28 12:25,"​
 1",0,"灞上横刀
兵法农道四家学
1 人赞同了该回答

十分的好

发布于 2022-03-28 12:25
​
赞同 1​
​
添加评论
​
分享
​
收藏
​
喜欢
​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,繁***,发布于 2022-06-07 12:03,"​
",0,"繁华落尽
笑死！哥哥辅导妹妹成语百般引导无果后崩溃了：妈你生个三胎吧
50 播放
发布于 2022-06-07 12:03· 41 次播放
​
赞同​
​
添加评论
​
分享
​
收藏
​
喜欢
​"
生了三胎的你们，过得好吗？,35岁，意外有了三胎，恍恍惚惚间已到了第五个月，期间因为怀孕被公司劝退，老公经常加班，大宝10岁，二宝2岁不到，每天生活在鸡飞狗跳里，内心很烦闷，经常莫名发脾气，每晚娃睡了就反思自己，不能给孩子传递消极情绪，流着泪给自己加油打气，然而第二天又在生活和带娃的琐碎里摸滚打爬…,M***,发布于 2022-05-25 22:47,"​
",0,"Miss Lola

更新 22.06.25

不觉间三胎已到了第7月，最近婆婆过来帮忙了，身体确实轻松了许多，但是内心却很累，我自己在家里我行我素惯了，突然间要被人管东管西，而且还不能太多反对，毕竟还是很需要婆婆帮忙，尤其是三宝出生，二宝还不大懂事…总之有利有弊，为了娃我能忍且忍，另外好在老公多数是跟我“统一战线”。

相信一切会越来越好

发布于 2022-05-25 22:47
​
赞同​
​
添加评论
​
分享
​
收藏
​
喜欢
​"
如果生三胎，国家赠送一套房子，你会生吗？,"生二胎送三房，生三胎送四房……

就在社保购买地送……",胖***,编辑于 2022-03-30 20:56,"​
 7052","​
250 ","胖丫爱吃猪蹄子
希望2022年找到努力的方向~
7,052 人赞同了该回答

你们为什么会觉得自己一定能得到房子。

找关系，开出来几个出生证明，到手一套房子。连一个孩子都不用生的人就白嘌了一套房子了。

就别说生孩子给房子了。

廉租房，就是每个城市的保障性住房知道吧。

我前几天刷小h书，看我们这个城市的廉租房。结果，是明码标价的。有门儿的找门儿给你操作，没门儿的就是花多少w人家给你凑材料，代办。最后房子到手，立马转租，租房广告在某音铺天盖地的。我都没脸说我在哪个城市。

所以说什么生孩子给房子的，和我邻居，一个总想回到分房子那个年代的老奶奶，一样的天真，天真的可爱。

朝鲜倒是不用花钱买房子，人家分房子。你去不去。

再然后，生三个起码得五六年吧，李靓蕾算火箭速度了，都五年三胎算快的了。

等你或者你媳妇生完了老二以后，哪天看新闻的时候，刷到个新闻，叫第四期三胎保障性住房分配公告，老人老政策新人新规定，对新一批三胎保障性住房调整分配形式，从奖励产权变成低价租赁，提高租赁门槛，优化群体素质。

到时候你哭不哭。

连社保养老都不敢说能贯彻落实到底呢，为点小恩小惠昏头昏脑的，疯了吧。

编辑于 2022-03-30 20:56
​
赞同 7052​
​
250 条评论
​
分享
​
收藏
​
喜欢
​"
如果生三胎，国家赠送一套房子，你会生吗？,"生二胎送三房，生三胎送四房……

就在社保购买地送……",俞***,编辑于 2022-05-11 17:05,"​
 5479","​
341 ","俞唐
​
资深懂哥，问就是懂，再问就是不会
5,479 人赞同了该回答

有这么一个国家

第一胎给10万

第二胎再给11万

第三胎再给14万

再加码

生育孩子的父母有大额免税回扣

第一胎生育当年可扣税2万元

第二胎4万元

在此基础上在职母亲，还有额外回扣。

第一胎为母亲总收入的15％

第二胎为20％

第三胎及以后的孩子为25％

再再加码

育儿优先买房

单身国民几乎没有首套房资格，只能购买二手房

再再再加码

父母申请有执照的托儿中心还有津贴

基本育婴和托儿津贴顶限分别为2500元和1300元

孩子上了幼儿园了

中低收入家庭每月贴孩子700元

从小学到中学

每个孩子每年都有津贴，小学800元，中学1000元

………………

哦对了

这玩意是新加坡

生育率1.1

编辑于 2022-05-11 17:05・IP 属地江苏
真诚赞赏，手留余香
赞赏
还没有人赞赏，快来当第一个赞赏的人吧！
​
赞同 5479​
​
341 条评论
​
分享
​
收藏
​
喜欢
​
收起​"
